checkpoint_name,training_step,population,measure,pearson_r,pearson_p
trained_model_checkpoint_690.pkl,690,Adults,RT,0.6833675766221248,1.7023911654950097e-14
trained_model_checkpoint_700.pkl,700,Adults,RT,0.6684515099402311,9.95788567265512e-14
trained_model_checkpoint_710.pkl,710,Adults,RT,0.6682284581455809,1.0216551168314477e-13
trained_model_checkpoint_720.pkl,720,Adults,RT,0.6564184792399729,3.851654525438409e-13
trained_model_checkpoint_730.pkl,730,Adults,RT,0.6589036337045948,2.927552115039121e-13
trained_model_checkpoint_740.pkl,740,Adults,RT,0.6502970146599548,7.48901711865454e-13
trained_model_checkpoint_750.pkl,750,Adults,RT,0.6399883657735026,2.218934603098387e-12
trained_model_checkpoint_760.pkl,760,Adults,RT,0.627818428882241,7.597055419543326e-12
trained_model_checkpoint_770.pkl,770,Adults,RT,0.6239660347513508,1.1092163862402724e-11
trained_model_checkpoint_780.pkl,780,Adults,RT,0.6223680345205125,1.2957996102203754e-11
trained_model_checkpoint_790.pkl,790,Adults,RT,0.6159324688670204,2.4022611165177638e-11
trained_model_checkpoint_800.pkl,800,Adults,RT,0.6214501537363822,1.4162779143371619e-11
trained_model_checkpoint_400.pkl,400,Kids_II,RT,0.791157364309311,8.751474826460342e-22
trained_model_checkpoint_410.pkl,410,Kids_II,RT,0.794151327731094,4.784566601210216e-22
trained_model_checkpoint_420.pkl,420,Kids_II,RT,0.7961071954518452,3.207584166437217e-22
trained_model_checkpoint_430.pkl,430,Kids_II,RT,0.8101381933419417,1.5934663109709707e-23
trained_model_checkpoint_440.pkl,440,Kids_II,RT,0.790027213834144,1.0963761443787316e-21
trained_model_checkpoint_450.pkl,450,Kids_II,RT,0.7981242264796999,2.1139372888618672e-22
trained_model_checkpoint_460.pkl,460,Kids_II,RT,0.8153814833838178,4.864483195460279e-24
trained_model_checkpoint_470.pkl,470,Kids_II,RT,0.7888187665708661,1.393018099569667e-21
trained_model_checkpoint_480.pkl,480,Kids_II,RT,0.7948340908549499,4.163251485173727e-22
trained_model_checkpoint_490.pkl,490,Kids_II,RT,0.790404682574514,1.0170334719824559e-21
trained_model_checkpoint_500.pkl,500,Kids_II,RT,0.784486361539662,3.2455468314358386e-21
trained_model_checkpoint_510.pkl,510,Kids_II,RT,0.7830979871189231,4.238571131092298e-21
trained_model_checkpoint_520.pkl,520,Kids_II,RT,0.7948496007206487,4.1500917918202533e-22
trained_model_checkpoint_530.pkl,530,Kids_II,RT,0.8019043711991886,9.552862518649144e-23
trained_model_checkpoint_540.pkl,540,Kids_II,RT,0.784806887544561,3.050716668855668e-21
trained_model_checkpoint_550.pkl,550,Kids_II,RT,0.7862510812748853,2.305104520388029e-21
trained_model_checkpoint_560.pkl,560,Kids_II,RT,0.7932367906881959,5.759752922576212e-22
trained_model_checkpoint_570.pkl,570,Kids_II,RT,0.7885940237635861,1.456206370755162e-21
