checkpoint_name,training_step,population,measure,epsilon,pearson_r,pearson_p
trained_model_checkpoint_430.pkl,430,Kids_II,RT,3.5,0.8043060032385542,5.715914462784618e-23
trained_model_checkpoint_440.pkl,440,Kids_II,RT,4.0,0.7980846570967984,2.131396578701968e-22
trained_model_checkpoint_450.pkl,450,Kids_II,RT,4.0,0.7958702974367283,3.36754205188416e-22
trained_model_checkpoint_460.pkl,460,Kids_II,RT,4.0,0.8202819961234136,1.5502695834490076e-24
trained_model_checkpoint_470.pkl,470,Kids_II,RT,4.0,0.7988131489122416,1.8313509201004131e-22
trained_model_checkpoint_480.pkl,480,Kids_II,RT,4.0,0.799449334367387,1.6032703109918726e-22
trained_model_checkpoint_490.pkl,490,Kids_II,RT,4.0,0.8015778777423387,1.023812158839078e-22
trained_model_checkpoint_500.pkl,500,Kids_II,RT,4.0,0.8015778777423387,1.023812158839078e-22
trained_model_checkpoint_510.pkl,510,Kids_II,RT,4.0,0.7828888002624996,4.4117734621979745e-21
trained_model_checkpoint_520.pkl,520,Kids_II,RT,4.0,0.7935977034502782,5.353769176705409e-22
trained_model_checkpoint_530.pkl,530,Kids_II,RT,4.0,0.7911171156878549,8.822209990272594e-22
trained_model_checkpoint_540.pkl,540,Kids_II,RT,4.0,0.7609391345189828,2.341660854267895e-19
trained_model_checkpoint_550.pkl,550,Kids_II,RT,4.0,0.7609391345189828,2.341660854267895e-19
trained_model_checkpoint_560.pkl,560,Kids_II,RT,8.5,0.7624361443496017,1.8106037696781248e-19
trained_model_checkpoint_570.pkl,570,Kids_II,RT,8.5,0.7624361443496017,1.8106037696781248e-19
trained_model_checkpoint_580.pkl,580,Kids_II,RT,8.5,0.7869027724851831,2.0298326214688084e-21
trained_model_checkpoint_590.pkl,590,Kids_II,RT,8.5,0.7891311723818272,1.3095942235707656e-21
trained_model_checkpoint_600.pkl,600,Kids_II,RT,8.5,0.7891311723818272,1.3095942235707656e-21
trained_model_checkpoint_610.pkl,610,Kids_II,RT,8.5,0.7891311723818272,1.3095942235707656e-21
trained_model_checkpoint_620.pkl,620,Kids_II,RT,8.5,0.7961730750830984,3.1644309824360336e-22
trained_model_checkpoint_630.pkl,630,Kids_II,RT,8.5,0.7961922553815678,3.1519738218392653e-22
trained_model_checkpoint_640.pkl,640,Kids_II,RT,8.5,0.7801055808550941,7.48553013734151e-21
trained_model_checkpoint_650.pkl,650,Kids_II,RT,8.5,0.7814145915398649,5.843191523218714e-21
trained_model_checkpoint_660.pkl,660,Kids_II,RT,8.5,0.7801055808550941,7.48553013734151e-21
trained_model_checkpoint_670.pkl,670,Kids_II,RT,8.5,0.7814145915398649,5.843191523218714e-21
trained_model_checkpoint_680.pkl,680,Kids_II,RT,8.5,0.760518010951668,2.5165142415415963e-19
trained_model_checkpoint_690.pkl,690,Kids_II,RT,10.0,0.7624361443496017,1.8106037696781248e-19
trained_model_checkpoint_700.pkl,700,Kids_II,RT,10.0,0.7635833522224839,1.4847953890248046e-19
trained_model_checkpoint_710.pkl,710,Kids_II,RT,10.0,0.7891311723818272,1.3095942235707656e-21
trained_model_checkpoint_720.pkl,720,Kids_II,RT,10.0,0.7891311723818272,1.3095942235707656e-21
trained_model_checkpoint_730.pkl,730,Kids_II,RT,10.0,0.7891311723818272,1.3095942235707656e-21
trained_model_checkpoint_740.pkl,740,Kids_II,RT,10.0,0.7961922553815678,3.1519738218392653e-22
trained_model_checkpoint_750.pkl,750,Kids_II,RT,10.0,0.7961922553815678,3.1519738218392653e-22
trained_model_checkpoint_760.pkl,760,Kids_II,RT,10.0,0.7961730750830984,3.1644309824360336e-22
trained_model_checkpoint_770.pkl,770,Kids_II,RT,10.0,0.7801055808550941,7.48553013734151e-21
trained_model_checkpoint_780.pkl,780,Kids_II,RT,10.0,0.7814145915398649,5.843191523218714e-21
trained_model_checkpoint_790.pkl,790,Kids_II,RT,10.0,0.7814145915398649,5.843191523218714e-21
trained_model_checkpoint_800.pkl,800,Kids_II,RT,10.0,0.7713962930958669,3.7296618933101796e-20
trained_model_checkpoint_400.pkl,400,Adults,zRT,3.5,0.752265061006204,1.0023909622606178e-18
trained_model_checkpoint_410.pkl,410,Adults,zRT,3.5,0.752265061006204,1.0023909622606178e-18
trained_model_checkpoint_420.pkl,420,Adults,zRT,3.0,0.7339511008501156,1.7892928892472285e-17
trained_model_checkpoint_430.pkl,430,Adults,zRT,3.5,0.7588626328229715,3.3351767724405907e-19
trained_model_checkpoint_440.pkl,440,Adults,zRT,3.5,0.7357377498795341,1.3650485370195694e-17
trained_model_checkpoint_450.pkl,450,Adults,zRT,3.5,0.7324402799091136,2.245616997904736e-17
trained_model_checkpoint_460.pkl,460,Adults,zRT,4.0,0.7548013402346423,6.593248151704891e-19
trained_model_checkpoint_470.pkl,470,Adults,zRT,4.0,0.7396380871723931,7.503105544325517e-18
trained_model_checkpoint_480.pkl,480,Adults,zRT,3.5,0.7266990920310246,5.25079934632518e-17
trained_model_checkpoint_490.pkl,490,Adults,zRT,3.5,0.7301661658742357,3.1519609182897e-17
trained_model_checkpoint_500.pkl,500,Adults,zRT,3.5,0.7324375582538731,2.246533012216407e-17
trained_model_checkpoint_510.pkl,510,Adults,zRT,3.5,0.7339511008501156,1.7892928892472285e-17
trained_model_checkpoint_520.pkl,520,Adults,zRT,4.0,0.7171255760188366,2.065622068510654e-16
trained_model_checkpoint_530.pkl,530,Adults,zRT,9.0,0.7185124930562516,1.6998079794561462e-16
trained_model_checkpoint_540.pkl,540,Adults,zRT,4.0,0.7105528327405926,5.122315662767733e-16
trained_model_checkpoint_550.pkl,550,Adults,zRT,4.0,0.7105528327405926,5.122315662767733e-16
trained_model_checkpoint_560.pkl,560,Adults,zRT,8.5,0.7109923339852996,4.8243074737934155e-16
trained_model_checkpoint_570.pkl,570,Adults,zRT,8.5,0.7109923339852996,4.8243074737934155e-16
trained_model_checkpoint_580.pkl,580,Adults,zRT,8.5,0.7359809720648769,1.3154505864219232e-17
trained_model_checkpoint_590.pkl,590,Adults,zRT,4.0,0.7273651801493786,4.7632860907364693e-17
trained_model_checkpoint_600.pkl,600,Adults,zRT,4.0,0.7273651801493786,4.7632860907364693e-17
trained_model_checkpoint_610.pkl,610,Adults,zRT,4.0,0.7339511008501156,1.7892928892472285e-17
trained_model_checkpoint_620.pkl,620,Adults,zRT,4.0,0.7339511008501156,1.7892928892472285e-17
trained_model_checkpoint_630.pkl,630,Adults,zRT,8.5,0.7372851819990849,1.077909430043872e-17
trained_model_checkpoint_640.pkl,640,Adults,zRT,9.0,0.7310738089612931,2.7541743459560067e-17
