checkpoint_name,n_total_inits,population,measure,pearson_r,pearson_p,spearman_rho,spearman_p
trained_model_checkpoint_140.pkl,21,Adults,ER,0.1753711126851154,0.0874431434824932,0.1847613986915337,0.0715265389200053
trained_model_checkpoint_150.pkl,21,Kids_II,RT,0.7665856813290752,8.787476997607423e-20,0.7848857055523379,3.004578312914575e-21
trained_model_checkpoint_150.pkl,21,Kids_II,zRT,0.7715221981465812,3.645916198032758e-20,0.789422775132088,1.2361231892586185e-21
trained_model_checkpoint_150.pkl,21,Kids_II,ER,0.1349731185862006,0.1898083769957781,0.0609014522664091,0.5555655711084759
trained_model_checkpoint_150.pkl,21,Adults,RT,0.6745857249814685,4.876293184369599e-14,0.6981689133285268,2.6523610862030734e-15
trained_model_checkpoint_150.pkl,21,Adults,zRT,0.6862624470870048,1.1937001265597035e-14,0.7119031149178311,4.2592761198822697e-16
trained_model_checkpoint_150.pkl,21,Adults,ER,0.1755406873118093,0.0871326586063682,0.1989440136952782,0.0519941636786241
trained_model_checkpoint_160.pkl,21,Kids_II,RT,0.7629784659387664,1.6487504703686017e-19,0.7827670142534561,4.515759165043009e-21
trained_model_checkpoint_160.pkl,21,Kids_II,zRT,0.7684251084347369,6.347580068874116e-20,0.7878752381100058,1.6775850046348002e-21
trained_model_checkpoint_160.pkl,21,Kids_II,ER,0.1289447086896395,0.2105408858964263,0.0596437325727303,0.563773333506451
trained_model_checkpoint_160.pkl,21,Adults,RT,0.6714231561720787,7.061111697433155e-14,0.6991574090719879,2.333258634366948e-15
trained_model_checkpoint_160.pkl,21,Adults,zRT,0.6817457191810632,2.0732850704816868e-14,0.7124879611682245,3.9308503571140877e-16
trained_model_checkpoint_160.pkl,21,Adults,ER,0.180942759045943,0.0776916673873923,0.2007272963102697,0.049883454536565
trained_model_checkpoint_170.pkl,21,Kids_II,RT,0.7700433077059735,4.7562037234559576e-20,0.7727406989670866,2.924349321262549e-20
trained_model_checkpoint_170.pkl,21,Kids_II,zRT,0.7779148518313324,1.1288000405090163e-20,0.7757341226249524,1.6912068212100015e-20
trained_model_checkpoint_170.pkl,21,Kids_II,ER,0.1354461285617414,0.1882466055138471,0.0607240107159641,0.5567200515564739
trained_model_checkpoint_170.pkl,21,Adults,RT,0.6805251254738509,2.4028103136547923e-14,0.6870522381855273,1.0827441662402682e-14
trained_model_checkpoint_170.pkl,21,Adults,zRT,0.6889163493940221,8.589951010405538e-15,0.6986227090822557,2.5009439894531124e-15
trained_model_checkpoint_170.pkl,21,Adults,ER,0.174039045283227,0.0899127606041473,0.1693657764653814,0.0990162070174137
trained_model_checkpoint_180.pkl,21,Kids_II,RT,0.7745895355411352,2.0872113968355542e-20,0.7938042755186869,5.134073933150758e-22
trained_model_checkpoint_180.pkl,21,Kids_II,zRT,0.7850252739676187,2.924537261102653e-21,0.8011104819223372,1.130301130672688e-22
trained_model_checkpoint_180.pkl,21,Kids_II,ER,0.1401049900018228,0.1733600289731914,0.0570389994400204,0.580952041472317
trained_model_checkpoint_180.pkl,21,Adults,RT,0.6945808713711,4.205541951019825e-15,0.7226303322381843,9.463621926807788e-17
trained_model_checkpoint_180.pkl,21,Adults,zRT,0.7011380037501881,1.8019277372019665e-15,0.7309079630887618,2.823024570429568e-17
trained_model_checkpoint_180.pkl,21,Adults,ER,0.1728054813013064,0.092248716256452,0.1863513861461161,0.0690787096035342
trained_model_checkpoint_190.pkl,21,Kids_II,RT,0.7824638795127122,4.785044295352219e-21,0.7887426881206259,1.4141036176006076e-21
trained_model_checkpoint_190.pkl,21,Kids_II,zRT,0.787278430996418,1.8859737596885042e-21,0.7911673126503562,8.734076272720729e-22
trained_model_checkpoint_190.pkl,21,Kids_II,ER,0.1463011609956377,0.1549273240033739,0.0820288641541487,0.4268884620563196
trained_model_checkpoint_190.pkl,21,Adults,RT,0.6895512063466696,7.935598660279141e-15,0.7100451292319164,5.488797442822106e-16
trained_model_checkpoint_190.pkl,21,Adults,zRT,0.6995139254551751,2.2275589686668014e-15,0.7224696176413262,9.684329178711717e-17
trained_model_checkpoint_190.pkl,21,Adults,ER,0.1834796823460026,0.0735502805169138,0.2145087670698339,0.0358422565425634
trained_model_checkpoint_200.pkl,21,Kids_II,RT,0.7786044205632455,9.92392416692691e-21,0.7954612583203874,3.6621844285210155e-22
trained_model_checkpoint_200.pkl,21,Kids_II,zRT,0.7864305423623167,2.225874320464189e-21,0.8010556537980298,1.143477853566727e-22
trained_model_checkpoint_200.pkl,21,Kids_II,ER,0.1430220325333961,0.1644908525280028,0.0620561660213372,0.548080933558966
trained_model_checkpoint_200.pkl,21,Adults,RT,0.6951014690572128,3.935114274782687e-15,0.7187391009539954,1.6463443273398375e-16
trained_model_checkpoint_200.pkl,21,Adults,zRT,0.7018134265246926,1.6491349250960804e-15,0.7264339688441025,5.458019011549258e-17
trained_model_checkpoint_200.pkl,21,Adults,ER,0.1809141407016331,0.0777394294534078,0.1932423714936834,0.0592410013064546
trained_model_checkpoint_210.pkl,21,Kids_II,RT,0.7865086394107894,2.1922282755172003e-21,0.8073260612390302,2.966080984320414e-23
trained_model_checkpoint_210.pkl,21,Kids_II,zRT,0.7942632363003614,4.676885032984284e-22,0.8124405427875389,9.507316885856325e-24
trained_model_checkpoint_210.pkl,21,Kids_II,ER,0.1494200304608777,0.1462226297709349,0.0779297976754018,0.4504292712024321
trained_model_checkpoint_210.pkl,21,Adults,RT,0.7079665325000846,7.272407241564825e-16,0.7392382384227757,7.981756326510795e-18
trained_model_checkpoint_210.pkl,21,Adults,zRT,0.7128677421549079,3.7308700604062957e-16,0.7458355763665567,2.8352442237413146e-18
trained_model_checkpoint_210.pkl,21,Adults,ER,0.1919319255006876,0.0610181404348177,0.2110615142125435,0.0389989960686726
trained_model_checkpoint_220.pkl,21,Kids_II,RT,0.7814595307941334,5.793539349716212e-21,0.800570934310552,1.2666605023552122e-22
trained_model_checkpoint_220.pkl,21,Kids_II,zRT,0.7920919778030933,7.255725896454952e-22,0.8106765770428287,1.4130910106658672e-23
