checkpoint_name,epsilon,n_inits,population,measure,pearson_r,pearson_p,spearman_rho,spearman_p
trained_model_checkpoint_10.pkl,5.5,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,5.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,5.5,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,5.5,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,5.5,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,5.5,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,6.0,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,6.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,6.0,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,6.0,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,6.0,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,6.0,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,6.5,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,6.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,6.5,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,6.5,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,6.5,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,6.5,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,7.0,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,7.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,7.0,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,7.0,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,7.0,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,7.0,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,7.5,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,7.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,7.5,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,7.5,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,7.5,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,7.5,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,8.0,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,8.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,8.0,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,8.0,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,8.0,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,8.0,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,8.5,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,8.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,8.5,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,8.5,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,8.5,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,8.5,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,9.0,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,9.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,9.0,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,9.0,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,9.0,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,9.0,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,9.5,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,9.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,9.5,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,9.5,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,9.5,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,9.5,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,10.0,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,10.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,10.0,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,10.0,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,10.0,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,10.0,1,Adults,ER,,,,
trained_model_checkpoint_20.pkl,0.0,1,Kids_II,RT,0.7562335507423735,5.19256835517776e-19,0.7655904309277061,1.0465377309833208e-19
trained_model_checkpoint_20.pkl,0.0,1,Kids_II,zRT,0.749924016178721,1.469048192544982e-18,0.7671277611102917,7.986761432067093e-20
trained_model_checkpoint_20.pkl,0.0,1,Kids_II,ER,0.2821793002184656,0.0053460621434165,0.2169405025704666,0.0337468190557773
trained_model_checkpoint_20.pkl,0.0,1,Adults,RT,0.7061758453727474,9.249146094153523e-16,0.7040972236242758,1.2199460828224437e-15
trained_model_checkpoint_20.pkl,0.0,1,Adults,zRT,0.7339511008501156,1.7892928892472285e-17,0.7333064970934051,1.971763523224816e-17
trained_model_checkpoint_20.pkl,0.0,1,Adults,ER,0.2422250665523351,0.0174187743718212,0.3094469598013554,0.0021556483613862
trained_model_checkpoint_20.pkl,0.5,1,Kids_II,RT,0.0796430844140567,0.4405030554635717,0.0990351814015259,0.3370581116207833
trained_model_checkpoint_20.pkl,0.5,1,Kids_II,zRT,0.0596572572706913,0.5636847677074257,0.0759028762566439,0.462331877617971
